0;2;2;;1;1;;;;;;;;;;;;;;;;;;;
59;1932;2676;;966;1338;;20;26;;4;;;;;;;;;;;;;;
60;1978;2728;;989;1364;;23;26;;5;;;;;;;;;;;;;;
61;2018;2780;;1009;1390;;20;26;;4;;;;;;;;;;;;;;
62;2064;2832;;1032;1416;;23;26;;5;;;;;;;;;;;;;;
63;2110;2884;;1055;1442;;23;26;;5;;;;;;;;;;;;;;
64;2162;2936;;1081;1468;;26;26;;6;;;;;;;;;;;;;;
65;2184;2994;;1092;1497;;11;29;;1;;;;;;;;;;;;;;
66;2212;3052;;1106;1526;;14;29;;2;;;;;;;;;;;;;;
67;2240;3110;;1120;1555;;14;29;;2;;;;;;;;;;;;;;
68;2274;3168;;1137;1584;;17;29;;3;;;;;;;;;;;;;;
69;2302;3226;;1151;1613;;14;29;;2;;;;;;;;;;;;;;
70;2336;3284;;1168;1642;;17;29;;3;;;;;;;;;;;;;;
71;2370;3342;;1185;1671;;17;29;;3;;;;;;;;;;;;;;
72;2410;3400;;1205;1700;;20;29;;4;;;;;;;;;;;;;;
73;2438;3458;;1219;1729;;14;29;;2;;;;;;;;;;;;;;
74;2472;3516;;1236;1758;;17;29;;3;;;;;;;;;;;;;;
75;2506;3574;;1253;1787;;17;29;;3;;;;;;;;;;;;;;
76;2546;3632;;1273;1816;;20;29;;4;;;;;;;;;;;;;;
77;2580;3690;;1290;1845;;17;29;;3;;;;;;;;;;;;;;
78;2620;3748;;1310;1874;;20;29;;4;;;;;;;;;;;;;;
79;2660;3806;;1330;1903;;20;29;;4;;;;;;;;;;;;;;
80;2706;3864;;1353;1932;;23;29;;5;;;;;;;;;;;;;;
81;2734;3922;;1367;1961;;14;29;;2;;;;;;;;;;;;;;
82;2768;3980;;1384;1990;;17;29;;3;;;;;;;;;;;;;;
83;2802;4038;;1401;2019;;17;29;;3;;;;;;;;;;;;;;
84;2842;4096;;1421;2048;;20;29;;4;;;;;;;;;;;;;;
85;2876;4154;;1438;2077;;17;29;;3;;;;;;;;;;;;;;
86;2916;4212;;1458;2106;;20;29;;4;;;;;;;;;;;;;;
87;2956;4270;;1478;2135;;20;29;;4;;;;;;;;;;;;;;
88;3002;4328;;1501;2164;;23;29;;5;;;;;;;;;;;;;;
89;3036;4386;;1518;2193;;17;29;;3;;;;;;;;;;;;;;
90;3076;4444;;1538;2222;;20;29;;4;;;;;;;;;;;;;;
91;3116;4502;;1558;2251;;20;29;;4;;;;;;;;;;;;;;
92;3162;4560;;1581;2280;;23;29;;5;;;;;;;;;;;;;;
93;3202;4618;;1601;2309;;20;29;;4;;;;;;;;;;;;;;
94;3248;4676;;1624;2338;;23;29;;5;;;;;;;;;;;;;;
95;3294;4734;;1647;2367;;23;29;;5;;;;;;;;;;;;;;
96;3346;4792;;1673;2396;;26;29;;6;;;;;;;;;;;;;;
97;3374;4850;;1687;2425;;14;29;;2;;;;;;;;;;;;;;
98;3408;4908;;1704;2454;;17;29;;3;;;;;;;;;;;;;;
99;3442;4966;;1721;2483;;17;29;;3;;;;;;;;;;;;;;
